city_name,january_avg_temp,january_min_temp,january_max_temp,january_avg_humidity,latitude,longitude
San Fernando,24.1,21.54,27.11,77.72,16.62,120.32
San Jose,21.59,18.26,25.36,93.02,17.89,121.87
San Jose del Monte,24.72,21.55,28.35,86.5,14.81,121.05
San Juan,25.32,22.71,28.88,89.78,17.74,120.46
San Pablo,25.52,21.93,29.06,81.36,14.97,120.62
San Pedro,21.64,18.73,25.19,92.47,17.2,121.88
Santa Rosa,24.25,20.76,28.24,82.69,15.42,120.94
Santiago,25.04,22.55,28.35,85.43,17.29,120.44
Santo Tomas,21.87,19.15,25.52,91.14,17.4,121.76
Silay City,25.05,22.86,28.15,85.97,10.8,122.97
Sipalay,25.59,23.44,28.87,84.3,9.75,122.4
Surigao City,24.72,22.16,28.17,83.51,9.75,125.5
Tabaco,25.27,22.98,28.8,89.16,13.36,123.73
Tabuk,21.5,18.79,25.34,91.0,17.42,121.44
Tacloban City,24.01,20.93,27.44,91.01,11.25,125.0
Tacurong,25.09,21.15,29.9,85.59,6.69,124.68
Tagaytay City,21.1,17.86,25.15,85.26,14.11,120.93
Taguig,25.23,22.27,28.88,83.32,14.52,121.08
Talisay,24.58,22.75,28.03,90.84,14.13,122.92
Tanauan,23.95,20.39,27.29,85.49,14.09,121.15
Tandag,24.5,21.31,28.12,82.37,9.08,126.2
Tangub,25.19,22.83,28.57,84.52,10.63,122.93
Tanjay,26.02,23.0,29.58,83.24,9.52,123.16
Tarlac City,24.17,20.24,28.27,82.01,15.49,120.6
Tayabas,23.05,19.82,26.73,87.59,14.03,121.59
Toledo City,25.2,22.81,28.5,86.17,10.38,123.63
Tuguegarao,21.85,18.78,25.53,90.26,17.61,121.73
Urdaneta,24.51,21.21,29.21,78.76,15.98,120.57
Valencia,24.22,20.89,28.62,89.97,11.11,124.57
Valenzuela,25.1,22.09,29.1,84.94,14.7,120.97
Victorias,25.26,23.31,28.45,85.74,10.9,123.08
Vigan,25.79,23.54,28.99,90.66,17.57,120.39
Zamboanga City,25.98,22.59,30.48,85.44,6.91,122.07
